movieId,movie_idx
122,0
185,1
231,2
292,3
316,4
329,5
355,6
356,7
362,8
364,9
370,10
377,11
420,12
466,13
480,14
520,15
539,16
586,17
588,18
589,19
594,20
616,21
110,22
151,23
260,24
376,25
590,26
648,27
719,28
733,29
736,30
780,31
786,32
802,33
858,34
1049,35
1073,36
1210,37
1356,38
1391,39
1544,40
213,41
1148,42
1246,43
1252,44
1276,45
1288,46
1408,47
1552,48
1564,49
1597,50
1674,51
3408,52
3684,53
4535,54
4677,55
4995,56
5299,57
5505,58
5527,59
5952,60
6287,61
6377,62
6539,63
7153,64
7155,65
8529,66
8533,67
8783,68
27821,69
33750,70
21,71
34,72
39,73
150,74
153,75
161,76
165,77
208,78
253,79
266,80
317,81
344,82
349,83
367,84
380,85
410,86
432,87
434,88
435,89
440,90
500,91
587,92
592,93
595,94
597,95
1,96
7,97
25,98
28,99
30,100
32,101
47,102
52,103
57,104
58,105
85,106
111,107
141,108
171,109
194,110
230,111
232,112
235,113
242,114
249,115
299,116
306,117
307,118
308,119
321,120
326,121
334,122
345,123
348,124
412,125
446,126
475,127
477,128
495,129
508,130
509,131
515,132
527,133
532,134
535,135
538,136
541,137
562,138
593,139
608,140
708,141
778,142
818,143
903,144
912,145
919,146
920,147
923,148
926,149
969,150
1041,151
1046,152
1080,153
1094,154
1096,155
1097,156
1103,157
1104,158
1172,159
1183,160
1199,161
1206,162
1207,163
1219,164
1221,165
1225,166
1230,167
1235,168
1244,169
1247,170
1258,171
1280,172
1295,173
1300,174
457,175
1193,176
1196,177
1197,178
1198,179
1264,180
1277,181
1304,182
1396,183
1483,184
1527,185
1573,186
1580,187
1584,188
1629,189
1653,190
1748,191
2028,192
2396,193
2405,194
2571,195
2628,196
3555,197
3578,198
3623,199
3740,200
3753,201
3755,202
3863,203
3986,204
3994,205
3996,206
4053,207
4161,208
4270,209
4299,210
4369,211
4446,212
50,213
101,214
599,215
800,216
899,217
904,218
908,219
913,220
930,221
942,222
951,223
954,224
1086,225
1212,226
1234,227
1240,228
1245,229
1248,230
1254,231
1256,232
1260,233
1266,234
1270,235
1283,236
1284,237
1333,238
1344,239
1348,240
1387,241
1517,242
1590,243
1617,244
1732,245
1805,246
1895,247
1917,248
2186,249
2203,250
2206,251
2335,252
2391,253
2395,254
2478,255
2527,256
2648,257
2683,258
2762,259
2791,260
2804,261
2936,262
3006,263
3044,264
3176,265
3334,266
3365,267
3435,268
3467,269
3471,270
3671,271
3703,272
3730,273
3859,274
4027,275
4206,276
4226,277
4246,278
4306,279
4327,280
4406,281
4420,282
4432,283
4886,284
4975,285
5017,286
5094,287
5184,288
5292,289
5294,290
5300,291
5388,292
5440,293
5481,294
5500,295
5502,296
5528,297
5826,298
6273,299
2,300
5,301
6,302
16,303
19,304
22,305
31,306
36,307
66,308
70,309
93,310
104,311
145,312
158,313
160,314
163,315
164,316
170,317
172,318
173,319
180,320
196,321
215,322
216,323
223,324
240,325
256,326
288,327
290,328
293,329
303,330
315,331
324,332
328,333
330,334
338,335
353,336
357,337
368,338
372,339
379,340
384,341
393,342
407,343
413,344
442,345
455,346
471,347
479,348
481,349
489,350
514,351
522,352
537,353
540,354
543,355
547,356
548,357
552,358
606,359
610,360
637,361
678,362
688,363
694,364
705,365
737,366
741,367
784,368
785,369
799,370
836,371
842,372
849,373
879,374
886,375
934,376
996,377
1004,378
1020,379
1027,380
1035,381
1036,382
1037,383
1060,384
1061,385
1064,386
1079,387
1083,388
1089,389
1091,390
1092,391
1093,392
1100,393
1101,394
1125,395
1126,396
1127,397
1129,398
1136,399
1188,400
1200,401
1204,402
1208,403
1214,404
1215,405
1220,406
1231,407
1253,408
1261,409
1262,410
1265,411
1268,412
1275,413
1285,414
1291,415
1302,416
1307,417
1320,418
1321,419
1339,420
1347,421
1358,422
1370,423
1373,424
1377,425
1380,426
1385,427
1388,428
1393,429
1395,430
1405,431
1409,432
1425,433
1429,434
1466,435
1499,436
1500,437
1513,438
1515,439
1556,440
1562,441
1587,442
1588,443
1591,444
1598,445
1603,446
1608,447
1611,448
1616,449
1620,450
1625,451
1627,452
1639,453
1641,454
1644,455
1658,456
1663,457
1665,458
1673,459
1676,460
1682,461
1687,462
1690,463
1702,464
